song_id,song,album,artist,clean_lyrics
11,11_this_love,1989,Taylor Swift,"clear blue water high tide came and brought you in and i could go on and on, on and on and i will skies grew darker currents swept you out again and you were just gone and gone, gone and gone in silent screams and wildest dreams i never dreamed of this this love is good, this love is bad this love is alive back from the dead, oh-oh, oh these hands had to let it go free, and this love came back to me, oh-oh, oh oh-oh, oh-oh, oh tossing, turning struggled through the night with someone new baby, i could go on and on, on and on lantern, burning flickered in my mind, only you but you were still gone, gone, gone been losing grip on sinking ships you showed up just in time this love is good, this love is bad this love is alive back from the dead, oh-oh, oh these hands had to let it go free, and this love came back to me, oh-oh, oh this love left a permanent mark this love is glowing in the dark, oh-oh, oh these hands had to let it go free, and this love came back to me, oh-oh, oh (this love, this love, this love, this love, oh-oh, oh) (this love, this love, this love, this love, oh-oh, oh) (this love, this love, this love, this love, oh-oh, oh) (this love, this love, this love, this love) your kiss, my cheek, i watched you leave your smile, my ghost, i fell to my knees when you're young, you just run but you come back to what you need this love is good, this love is bad this love is alive back from the dead, oh-oh, oh these hands had to let it go free, and this love came back to me, oh-oh, oh (this love) this love left a permanent mark (this love) this love is glowing in the dark, oh-oh, oh (this love) these hands had to let it go free, and (this love) this love came back to me, oh-oh, oh (this love, this love, this love, this love, oh-oh, oh) (this love, this love, this love, this love, oh-oh, oh) (this love, this love, this love, this love) this love, this love came back to me, oh-oh, oh"
12,12_i_know_places,1989,Taylor Swift,"i-i-i-i, i-i-i-i i-i-i-i, i-i-i-i i-i-i-i, i-i-i-i, i-i (i, i) you stand with your hand on my waistline it's a scene and we're out here in plain sight i can hear them whisper as we pass by it's a bad sign, bad sign somethin' happens when everybody finds out see the vultures circling, dark clouds love's a fragile little flame, it could burn out it could burn out 'cause they got the cages, they got the boxes and guns they are the hunters, we are the foxes and we run baby, i know places we won't be found and they'll be chasing their tails tryin' to track us down 'cause i, i know places we can hide i know places, i know places lights flash and we'll run for the fences let them say what they want, we won't hear it loose lips sink ships all the damn time not this time just grab my hand and don't ever drop it, my love they are the hunters, we are the foxes and we run baby (baby), i know places we won't be found and they'll (they'll) be (be) chasing their tails tryin' to track us down 'cause i, i know places we can hide i know places they are the hunters, we are the foxes and we run just grab my hand and don't ever drop it, my love baby (baby), i know places we won't be found and they'll (they'll) be (be) chasing their tails tryin' to track us down 'cause i, i know places we can hide i know places (i) they take their shots, but we're bulletproof (i know places) (hide) and you know, for me, it's always you (i know places) (i) in the dead of night, your eyes so green (i know places) (hide) and i know, for you, it's always me (i know places) i-i-i-i, i-i-i-i i-i-i-i, i-i-i-i (i, i)"
13,13_clean,1989,Taylor Swift,"the drought was the very worst, ah-ah, ah-ah when the flowers that we'd grown together died of thirst it was months and months of back and forth, ah-ah, ah-ah you're still all over me like a wine-stained dress i can't wear anymore hung my head as i lost the war and the sky turned black like a perfect storm the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean there was nothin' left to do, ah-ah, ah-ah when the butterflies turned to dust that covered my whole room so i punched a hole in the roof, ah-ah, ah-ah let the flood carry away all my pictures of you the water filled my lungs, i screamed so loud but no one heard a thing the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean i think i am finally clean ah-ah-ah-ah-ah said, i think i am finally clean ah-ah-ah-ah ten months sober, i must admit just because you're clean, don't mean you don't miss it ten months older, i won't give in now that i'm clean, i'm never gonna risk it the drought was the very worst, ah-ah, ah-ah when the flowers that we'd grown together died of thirst (oh) the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean finally clean think i'm finally clean ah-ah, ah-ah think i'm finally clean"
14,01_willow,evermore,Taylor Swift,"i'm like the water when your ship rolled in that night rough on the surface, but you cut through like a knife and if it was an open-shut case i never would've known from that look on your face lost in your current like a priceless wine the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man life was a willow and it bent right to your wind head on the pillow, i could feel you sneakin' in as if you were a mythical thing like you were a trophy or a champion ring and there was one prize i'd cheat to win the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man life was a willow and it bent right to your wind they count me out time and time again life was a willow and it bent right to your wind but i come back stronger than a '90s trend wait for the signal, and i'll meet you after dark show me the places where the others gave you scars now this is an open-shut case i guess i should've known from the look on your face every bait-and-switch was a work of art the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man hey, that's my man that's my man yeah, that's my man every bait-and-switch was a work of art that's my man hey, that's my man i'm begging for you to take my hand wreck my plans, that's my man"
15,02_champagne_problems,evermore,Taylor Swift,"you booked the night train for a reason so you could sit there in this hurt bustling crowds or silent sleepers you're not sure which is worse because i dropped your hand while dancing left you out there standing crestfallen on the landing champagne problems your mom's ring in your pocket my picture in your wallet your heart was glass, i dropped it champagne problems you told your family for a reason you couldn't keep it in your sister splashed out on the bottle now no one's celebrating dom pérignon, you brought it no crowd of friends applauded your hometown skeptics called it champagne problems you had a speech, you're speechless love slipped beyond your reaches and i couldn't give a reason champagne problems your midas touch on the chevy door november flush and your flannel cure ""this dorm was once a madhouse"" i made a joke, ""well, it's made for me"" how evergreen, our group of friends don't think we'll say that word again and soon they'll have the nerve to deck the halls that we once walked through one for the money, two for the show i never was ready so i watch you go sometimes you just don't know the answer 'til someone's on their knees and asks you ""she would've made such a lovely bride what a shame she's fucked in the head,"" they said but you'll find the real thing instead she'll patch up your tapestry that i shred and hold your hand while dancing never leave you standing crestfallen on the landing with champagne problems your mom's ring in your pocket her picture in your wallet you won't remember all my champagne problems you won't remember all my champagne problems"
16,03_gold_rush,evermore,Taylor Swift,"gleaming, twinkling eyes like sinking ships on waters so inviting, i almost jump in but i don't like a gold rush, gold rush i don't like anticipatin' my face in a red flush i don't like that anyone would die to feel your touch everybody wants you everybody wonders what it would be like to love you walk past, quick brush i don't like slow motion, double vision in rose blush i don't like that falling feels like flying 'til the bone crush everybody wants you but i don't like a gold rush what must it be like to grow up that beautiful? with your hair falling into place like dominoes i see me padding across your wooden floors with my eagles t-shirt hanging from the door at dinner parties, i call you out on your contrarian shit and the coastal town we wandered 'round had nеver seen a love as pure as it and thеn it fades into the gray of my day-old tea 'cause it could never be 'cause i don't like a gold rush, gold rush i don't like anticipatin' my face in a red flush i don't like that anyone would die to feel your touch everybody wants you everybody wonders what it would be like to love you walk past, quick brush i don't like slow motion, double vision in rose blush i don't like that falling feels like flying 'til the bone crush everybody wants you but i don't like a gold rush what must it be like to grow up that beautiful? with your hair falling into place like dominoes my mind turns your life into folklore i can't dare to dream about you anymore at dinner parties, i won't call you out on your contrarian shit and the coastal town we never found will never see a love as pure as it 'cause it fades into the gray of my day-old tea 'cause it will never be gleaming, twinkling eyes like sinking ships on waters so inviting, i almost jump in"
17,04_tis_the_damn_season,evermore,Taylor Swift,"if i wanted to know who you were hanging with while i was gone, i would've asked you it's the kind of cold, fogs up windshield glass but i felt it when i passed you there's an ache in you, put there by the ache in me but if it's all the same to you it's the same to me so we could call it even you could call me ""babe"" for the weekend ​'tis the damn season, write this down i'm stayin' at my parents' house and the road not taken looks real good now and it always leads to you and my hometown i parkеd my car right between the methodist and thе school that used to be ours the holidays linger like bad perfume you can run, but only so far i escaped it too, remember how you watched me leave but if it's okay with you, it's okay with me we could call it even you could call me ""babe"" for the weekend ​'tis the damn season, write this down i'm stayin' at my parents' house and the road not taken looks real good now time flies, messy as the mud on your truck tires now i'm missing your smile, hear me out we could just ride around and the road not taken looks real good now and it always leads to you and my hometown sleep in half the day just for old times' sake i won't ask you to wait if you don't ask me to stay so i'll go back to l.a. and the so-called friends who'll write books about me if i ever make it and wonder about the only soul who can tell which smiles i'm fakin' and the heart i know i'm breakin' is my own to leave the warmest bed i've ever known we could call it even even though i'm leaving and i'll be yours for the weekend ​'tis the damn season we could call it even you could call me ""babe"" for the weekend ​'tis the damn season, write this down i'm stayin' at my parents' house and the road not taken looks real good now time flies, messy as the mud on your truck tires now i'm missing your smile, hear me out we could just ride around and the road not taken looks real good now and it always leads to you and my hometown it always leads to you and my hometown"
18,05_tolerate_it,evermore,Taylor Swift,"i sit and watch you readin' with your head low i wake and watch you breathin' with your eyes closed i sit and watch you i notice everything you do or don't do you're so much older and wiser, and i i wait by the door like i'm just a kid use my best colors for your portrait lay the table with the fancy shit and watch you tolerate it if it's all in my head, tell me now tell me i've got it wrong somehow i know my love should be celebrated but you tolerate it i greet you with a battle hero's welcome i take your indiscretions all in good fun i sit and listеn i polish plates until they gleam and glistеn you're so much older and wiser, and i i wait by the door like i'm just a kid use my best colors for your portrait lay the table with the fancy shit and watch you tolerate it if it's all in my head, tell me now tell me i've got it wrong somehow i know my love should be celebrated but you tolerate it while you were out buildin' other worlds, where was i? where's that man who'd throw blankets over my barbed wire? i made you my temple, my mural, my sky now i'm beggin' for footnotes in the story of your life drawin' hearts in the byline always takin' up too much space or time you assume i'm fine, but what would you do if i (i) break free and leave us in ruins? took this dagger in me and removed it gain the weight of you, then lose it believe me, i could do it if it's all in my head, tell me now tell me i've got it wrong somehow i know my love should be celebrated but you tolerate it i sit and watch you"
19,06_no_body_no_crime,evermore,Taylor Swift,"he did it he did it este's a friend of mine we meet up every tuesday night for dinner and a glass of wine este's been losin' sleep her husband's actin' different and it smells like infidelity she says, ""that ain't my merlot on his mouth that ain't my jewelry on our joint account"" no, there ain't no doubt i think i'm gonna call him out she says, ""i think he did it, but i just can't prove it"" i think he did it, but i just can't prove it i think he did it, but i just can't prove it no, no body, no crime but i ain't lettin' up until the day i die no, no i think he did it no, no he did it este wasn't there tuesday night at olive gardеn at her job or anywhere hе reports his missing wife and i noticed when i passed his house his truck has got some brand new tires and his mistress moved in sleeps in este's bed and everything no, there ain't no doubt somebody's gotta catch him out 'cause i think he did it, but i just can't prove it (he did it) i think he did it, but i just can't prove it (he did it) i think he did it, but i just can't prove it no, no body, no crime but i ain't lettin' up until the day i die no, no i think he did it no, no he did it good thing my daddy made me get a boating license when i was fifteen and i've cleaned enough houses to know how to cover up a scene good thing este's sister's gonna swear she was with me (she was with me, dude) good thing his mistress took out a big life insurance policy they think she did it, but they just can't prove it they think she did it, but they just can't prove it she thinks i did it, but she just can't prove it no, no body, no crime i wasn't lettin' up until the day he no, no body, no crime i wasn't lettin' up until the day he no, no body, no crime i wasn't lettin' up until the day he died"
20,07_happiness,evermore,Taylor Swift,"honey, when i'm above the trees i see this for what it is but now i'm right down in it, all the years i've given is just shit we're dividin' up showed you all of my hiding spots i was dancing when the music stopped and in the disbelief, i can't face reinvention i haven't met the new me yet there'll be happiness after you but there was happiness because of you both of these things can be true there is happiness past the blood and bruise past the curses and cries beyond the terror in the nightfall haunted by the look in my eyes that would've loved you for a lifetime leave it all behind and there is happiness tell me, when did your winning smile begin to look like a smirk? when did all our lessons start to look like weapons pointed at my deepest hurt? i hope she'll be a beautiful fool who takes my spot next to you no, i didn't mean that sorry, i can't see facts through all of my fury you haven't met the new me yet there'll be happiness after me but there was happiness because of me both of these things, i believe there is happiness in our history, across our great divide there is a glorious sunrise dappled with the flickers of light from the dress i wore at midnight, leave it all behind and there is happiness i can't make it go away by making you a villain i guess it's the price i paid for seven years in heaven and i pulled your body into mine every goddamn night, now i get fake niceties no one teaches you what to do when a good man hurts you and you know you hurt him too honey, when i'm above the trees i see it for what it is but now my eyes leak acid rain on the pillow where you used to lay your head after giving you the best i had tell me what to give after that all you want from me now is the green light of forgiveness you haven't met the new me yet and i think she'll give you that there'll be happiness after you but there was happiness because of you too both of these things can be true there is happiness in our history, across our great divide there is a glorious sunrise dappled with the flickers of light from the dress i wore at midnight, leave it all behind oh, leave it all behind leave it all behind and there is happiness"
21,08_dorothea,evermore,Taylor Swift,"hey, dorothea, do you ever stop and think about me? when we were younger, down in the park honey, makin' a lark of the misery you got shiny friends since you left town a tiny screen's the only place i see you now and i got nothin' but well wishes for ya ooh this place is the same as it ever was ooh but you won't like it that way it's never too late to come back to my side the stars in your eyes shined brighter in tupelo and if you're ever tired of bеin' known for who you know you know that you'll always know me dorothea, uh-uh dorothea, ah-ah ooh you'rе a queen sellin' dreams, sellin' makeup and magazines ooh from you, i'd buy anything hey, dorothea, do you ever stop and think about me? when it was calmer, skippin' the prom just to piss off your mom and her pageant schemes and damn, dorothea, they all wanna be ya but are you still the same soul i met under the bleachers? well ooh i guess i'll never know ooh and you'll go on with the show but it's never too late to come back to my side the stars in your eyes shined brighter in tupelo and if you're ever tired of bein' known for who you know you know, you'll always know me dorothea, uh-uh dorothea, ah-ah ooh, ooh ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh-ooh ooh, ooh ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh dorothea (ah-ah-ah) ah-ah ooh"
22,09_coney_island,evermore,Taylor Swift,"break my soul in two looking for you but you're right here if i can't relate to you anymore then who am i related to? and if this is the long haul how'd we get here so soon? did i close my fist around something delicate? did i shatter you? and i'm sitting on a bench in coney island wondering, where did my baby go? the fast times, the bright lights, the merry go sorry for not making you my centerfold over and over lost again with no surprises disappointments, close your eyes and it gets colder and colder when the sun goes down the question pounds my head what's a lifetime of achievement if i pushed you to the edge but you were too polite to leave me? and do you miss the rogue who coaxed you into paradise and left you there? will you forgive my soul when you're too wise to trust me and too old to care? 'cause we were like the mall before the internet it was the one place to be the mischief, the gift-wrapped suburban dreams sorry for not winning you an arcade ring over and over lost again with no surprises disappointments, close your eyes and it gets colder and colder when the sun goes down were you waiting at our old spot in the tree line by the gold clock did i leave you hanging every single day? were you standing in the hallway with a big cake, happy birthday did i paint your bluest skies the darkest grey? a universe away and when i got into the accident the sight that flashed before me was your face but when i walked up to the podium i think that i forgot to say your name i'm on a bench in coney island wondering, where did my baby go? the fast times, the bright lights, the merry go sorry for not making you my centerfold over and over lost again with no surprises disappointments, close your eyes and it gets colder and colder when the sun goes down when the sun goes down the sight that flashed before me was your face when the sun goes down but i think that i forgot to say your name over and over sorry for not making you my, making you my making you my centerfold"
